Pokemon,Type,Height,Weight,Abilities,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Simplified Type,image_path
Abomasnow,"['Grass', 'Ice']",2.2,135.5,"['Snow Warning, Soundproof (hidden ability)']",90,290,384,92,170,311,75,139,273,92,170,311,85,157,295,60,112,240,Grass,/content/Pokemon Images DB/Pokemon Images DB/Abomasnow/Abomasnow.png
Mega Abomasnow,"['Grass', 'Ice']",2.7,185.0,['Snow Warning'],90,290,384,132,242,399,105,193,339,132,242,399,105,193,339,30,58,174,Grass,/content/Pokemon Images DB/Pokemon Images DB/Mega Abomasnow/Mega Abomasnow.png
Abra,['Psychic'],0.9,19.5,"['Synchronize', 'Inner Focus, Magic Guard (hidden ability)']",25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Abra/Abra.png
Absol,['Dark'],1.2,47.0,"['Pressure', 'Super Luck, Justified (hidden ability)']",65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273,Dark,/content/Pokemon Images DB/Pokemon Images DB/Absol/Absol.png
Mega Absol,['Dark'],1.2,49.0,['Magic Bounce'],65,240,334,150,274,438,60,112,240,115,211,361,60,112,240,115,211,361,Dark,/content/Pokemon Images DB/Pokemon Images DB/Mega Absol/Mega Absol.png
Accelgor,['Bug'],0.8,25.3,"['Hydration', 'Sticky Hold, Unburden (hidden ability)']",80,270,364,70,130,262,40,76,196,100,184,328,60,112,240,145,265,427,Bug,/content/Pokemon Images DB/Pokemon Images DB/Accelgor/Accelgor.png
Aegislash Shield Forme,"['Steel', 'Ghost']",1.7,53.0,['Stance Change'],60,230,324,50,94,218,140,256,416,50,94,218,140,256,416,60,112,240,Steel,/content/Pokemon Images DB/Pokemon Images DB/Aegislash (Shield Forme)/Aegislash (Shield Forme).png
Aegislash Blade Forme,"['Steel', 'Ghost']",1.7,53.0,['Stance Change'],60,230,324,140,256,416,50,94,218,140,256,416,50,94,218,60,112,240,Steel,/content/Pokemon Images DB/Pokemon Images DB/Aegislash (Blade Forme)/Aegislash (Blade Forme).png
Aerodactyl,"['Rock', 'Flying']",1.8,59.0,"['Rock Head', 'Pressure, Unnerve (hidden ability)']",80,270,364,105,193,339,65,121,251,60,112,240,75,139,273,130,238,394,Rock,/content/Pokemon Images DB/Pokemon Images DB/Aerodactyl/Aerodactyl.png
Mega Aerodactyl,"['Rock', 'Flying']",2.1,79.0,['Tough Claws'],80,270,364,135,247,405,85,157,295,70,130,262,95,175,317,150,274,438,Rock,/content/Pokemon Images DB/Pokemon Images DB/Mega Aerodactyl/Mega Aerodactyl.png
Aggron,"['Steel', 'Rock']",2.1,360.0,"['Sturdy', 'Rock Head, Heavy Metal (hidden ability)']",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,Steel,/content/Pokemon Images DB/Pokemon Images DB/Aggron/Aggron.png
Mega Aggron,['Steel'],2.2,395.0,['Filter'],70,250,344,140,256,416,230,418,614,60,112,240,80,148,284,50,94,218,Steel,/content/Pokemon Images DB/Pokemon Images DB/Mega Aggron/Mega Aggron.png
Aipom,['Normal'],0.8,11.5,"['Run Away', 'Pickup, Skill Link (hidden ability)']",55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Aipom/Aipom.png
Alakazam,['Psychic'],1.5,48.0,"['Synchronize', 'Inner Focus, Magic Guard (hidden ability)']",55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Alakazam/Alakazam.png
Mega Alakazam,['Psychic'],1.2,48.0,['Trace'],55,220,314,50,94,218,65,121,251,175,319,493,105,193,339,150,274,438,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mega Alakazam/Mega Alakazam.png
Alcremie,['Fairy'],0.3,0.5,"['Sweet Veil, Aroma Veil (hidden ability)']",65,240,334,60,112,240,75,139,273,110,202,350,121,222,375,64,119,249,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Alcremie/Alcremie.png
Alomomola,['Water'],1.2,31.6,"['Healer', 'Hydration, Regenerator (hidden ability)']",165,440,534,75,139,273,80,148,284,40,76,196,45,85,207,65,121,251,Water,/content/Pokemon Images DB/Pokemon Images DB/Alomomola/Alomomola.png
Altaria,"['Dragon', 'Flying']",1.1,20.6,"['Natural Cure, Cloud Nine (hidden ability)']",75,260,354,70,130,262,90,166,306,70,130,262,105,193,339,80,148,284,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Altaria/Altaria.png
Mega Altaria,"['Dragon', 'Fairy']",1.5,20.6,['Pixilate'],75,260,354,110,202,350,110,202,350,110,202,350,105,193,339,80,148,284,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Mega Altaria/Mega Altaria.png
Amaura,"['Rock', 'Ice']",1.3,25.2,"['Refrigerate, Snow Warning (hidden ability)']",77,264,358,59,110,238,50,94,218,67,125,256,63,117,247,46,87,210,Rock,/content/Pokemon Images DB/Pokemon Images DB/Amaura/Amaura.png
Ambipom,['Normal'],1.2,20.3,"['Technician', 'Pickup, Skill Link (hidden ability)']",75,260,354,100,184,328,66,123,254,60,112,240,66,123,254,115,211,361,Normal,/content/Pokemon Images DB/Pokemon Images DB/Ambipom/Ambipom.png
Amoonguss,"['Grass', 'Poison']",0.6,10.5,"['Effect Spore, Regenerator (hidden ability)']",114,338,432,85,157,295,70,130,262,85,157,295,80,148,284,30,58,174,Grass,/content/Pokemon Images DB/Pokemon Images DB/Amoonguss/Amoonguss.png
Ampharos,['Electric'],1.4,61.5,"['Static, Plus (hidden ability)']",90,290,384,75,139,273,85,157,295,115,211,361,90,166,306,55,103,229,Electric,/content/Pokemon Images DB/Pokemon Images DB/Ampharos/Ampharos.png
Mega Ampharos,"['Electric', 'Dragon']",1.4,61.5,['Mold Breaker'],90,290,384,95,175,317,105,193,339,165,301,471,110,202,350,45,85,207,Electric,/content/Pokemon Images DB/Pokemon Images DB/Mega Ampharos/Mega Ampharos.png
Annihilape,"['Fighting', 'Ghost']",1.2,56.0,"['Vital Spirit', 'Inner Focus, Defiant (hidden ability)']",110,330,424,115,211,361,80,148,284,50,94,218,90,166,306,90,166,306,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Annihilape/Annihilape.png
Anorith,"['Rock', 'Bug']",0.7,12.5,"['Battle Armor, Swift Swim (hidden ability)']",45,200,294,95,175,317,50,94,218,40,76,196,50,94,218,75,139,273,Rock,/content/Pokemon Images DB/Pokemon Images DB/Anorith/Anorith.png
Appletun,"['Grass', 'Dragon']",0.4,13.0,"['Ripen', 'Gluttony, Thick Fat (hidden ability)']",110,330,424,85,157,295,80,148,284,100,184,328,80,148,284,30,58,174,Grass,/content/Pokemon Images DB/Pokemon Images DB/Appletun/Appletun.png
Applin,"['Grass', 'Dragon']",0.2,0.5,"['Ripen', 'Gluttony, Bulletproof (hidden ability)']",40,190,284,40,76,196,80,148,284,40,76,196,40,76,196,20,40,152,Grass,/content/Pokemon Images DB/Pokemon Images DB/Applin/Applin.png
Araquanid,"['Water', 'Bug']",1.8,82.0,"['Water Bubble, Water Absorb (hidden ability)']",68,246,340,70,130,262,92,170,311,50,94,218,132,242,399,42,80,201,Water,/content/Pokemon Images DB/Pokemon Images DB/Araquanid/Araquanid.png
Arbok,['Poison'],3.5,65.0,"['Intimidate', 'Shed Skin, Unnerve (hidden ability)']",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,Poison,/content/Pokemon Images DB/Pokemon Images DB/Arbok/Arbok.png
Arboliva,"['Grass', 'Normal']",1.4,48.2,"['Seed Sower, Harvest (hidden ability)']",78,266,360,69,128,260,90,166,306,125,229,383,109,200,348,39,74,194,Grass,/content/Pokemon Images DB/Pokemon Images DB/Arboliva/Arboliva.png
Arcanine,['Fire'],1.9,155.0,"['Intimidate', 'Flash Fire, Justified (hidden ability)']",90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,Fire,/content/Pokemon Images DB/Pokemon Images DB/Arcanine/Arcanine.png
